CDN           	Country  	  ('local', 'diff_metro')	  ('local', 'same_R')	  ('local', 'neigh_subR')	  ('local', 'neigh_R')	  ('local', 'non-neigh_R')	  ('diff_metro', 'same_R')	  ('diff_metro', 'neigh_subR')	  ('diff_metro', 'neigh_R')	  ('diff_metro', 'non-neigh_R')	  ('same_R', 'neigh_subR')	  ('same_R', 'neigh_R')	  ('same_R', 'non-neigh_R')	  ('neigh_subR', 'neigh_R')	  ('neigh_subR', 'non-neigh_R')	  ('neigh_R', 'non-neigh_R')
EdgeCast      	US       	               0.117647  	           0.190476  	                0.691877 	            1         	                1         	                0.190476  	                    0.7507    	                 1         	                     1         	                0.619048  	             1         	                 1         	                 0.764706  	                     0.842105  	                  0.578947
EdgeCast      	BR       	               0.230769  	           0.236264  	                1        	            1         	                1         	                0.0714286 	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
EdgeCast      	AR       	               0         	           0         	                0.75     	            1         	                1         	                0         	                    0.75      	                 1         	                     1         	                0.75      	             1         	                 1         	                 1         	                     1         	                  1
EdgeCast      	GB       	               0.2       	           0.5       	                0.3      	            1         	                1         	                0.3       	                    0.15      	                 1         	                     1         	                0.275     	             1         	                 1         	                 1         	                     1         	                  1
EdgeCast      	FR       	               0.31401   	           0.126263  	                0.214286 	            0.952381  	                1         	                0.243083  	                    0.36646   	                 0.952381  	                     1         	                0.136364  	             0.861472  	                 1         	                 0.761905  	                     0.952381  	                  0.428571
EdgeCast      	ES       	               0.166667  	           0.166667  	                0.333333 	            1         	                1         	                0         	                    0.333333  	                 1         	                     1         	                0.333333  	             1         	                 1         	                 1         	                     1         	                  0.833333
EdgeCast      	TR       	               0.222222  	           1         	                1        	            1         	                1         	                0.888889  	                    0.888889  	                 1         	                     1         	                0.166667  	             1         	                 1         	                 1         	                     1         	                  1
EdgeCast      	RU       	               0.333333  	           0.5       	                0.233333 	            0.666667  	                1         	                0.333333  	                    0.166667  	                 0.666667  	                     1         	                0.333333  	             0.5       	                 0.833333  	                 0.666667  	                     1         	                  0.5
EdgeCast      	DE       	               0.703297  	           0.25      	                0.692308 	            0.692308  	                1         	                0.607143  	                    0.703297  	                 0.857143  	                     1         	                0.461538  	             0.596154  	                 1         	                 0.307692  	                     0.846154  	                  0.615385
EdgeCast      	CN       	               0.2       	           0         	                0.166667 	            0.4       	                0.5       	                0.2       	                    0.3       	                 0.3       	                     0.333333  	                0.166667  	             0.4       	                 0.5       	                 0.5       	                     0.5       	                  0.5
EdgeCast      	IN       	               0.666667  	           1         	                0.25     	            1         	                1         	                1         	                    0.5       	                 1         	                     1         	                0.75      	             1         	                 1         	                 0.75      	                     1         	                  1
EdgeCast      	ID       	               1         	           0.333333  	                1        	            1         	                1         	                1         	                    0.666667  	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
EdgeCast      	AE       	               0.125     	           1         	                1        	            0.125     	                1         	                1         	                    1         	                 0         	                     1         	                1         	             1         	                 0.875     	                 1         	                     1         	                  1
EdgeCast      	DZ       	               0.181818  	           0.144444  	                0.1      	            1         	                1         	                0.181818  	                    0.272727  	                 1         	                     1         	                0.2       	             1         	                 1         	                 1         	                     1         	                  0.5
EdgeCast      	ZA       	               0.2       	           0.3       	                0.2      	            1         	                1         	                0.3       	                    0         	                 1         	                     1         	                0.3       	             1         	                 1         	                 1         	                     1         	                  0.8
EdgeCast      	EG       	               0.208333  	           0.166667  	                0.166667 	            0.208333  	                0.333333  	                0.125     	                    0.125     	                 0         	                     0.125     	                0         	             0.125     	                 0.25      	                 0.125     	                     0.25      	                  0.125
EdgeCast      	NG       	               0.363636  	           0.363636  	                0.0909091	            1         	                0.818182  	                0.1       	                    0.272727  	                 1         	                     1         	                0.272727  	             1         	                 1         	                 1         	                     0.909091  	                  0.59596
EdgeCast      	AU       	               0.272727  	           0.181818  	               -1        	            0.272727  	                1         	                0.181818  	                   -1         	                 0.181818  	                     1         	               -1         	             0.181818  	                 1         	                -1         	                    -1         	                  1
Cloudfront    	US       	               1         	           1         	                1        	            1         	                1         	                0.250133  	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
Cloudfront    	BR       	               1         	           1         	                1        	            1         	                1         	                0.254369  	                    0.34768   	                 0.996942  	                     1         	                0.17884   	             1         	                 1         	                 1         	                     1         	                  1
Cloudfront    	AR       	               1         	           1         	                1        	            1         	                1         	                0.136658  	                    0.544085  	                 1         	                     1         	                0.555925  	             1         	                 1         	                 0.792949  	                     1         	                  1
Cloudfront    	GB       	               0.140523  	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     0.975089  	                  1
Cloudfront    	FR       	               0.665385  	           1         	                1        	            1         	                1         	                0.542308  	                    0.565385  	                 1         	                     0.526923  	                1         	             1         	                 0.805861  	                 1         	                     0.798535  	                  1
Cloudfront    	ES       	               0.739228  	           1         	                1        	            1         	                1         	                1         	                    0.830882  	                 1         	                     0.830882  	                1         	             1         	                 1         	                 1         	                     0.137269  	                  1
Cloudfront    	TR       	               0.474684  	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                1         	             1         	                 0.571429  	                 1         	                     0.566502  	                  1
Cloudfront    	RU       	               0.364528  	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                0.789474  	             1         	                 0.681818  	                 1         	                     0.681818  	                  1
Cloudfront    	DE       	               0.92623   	           0.928962  	                1        	            1         	                0.928962  	                0.557252  	                    1         	                 1         	                     0.7       	                1         	             1         	                 0.692308  	                 1         	                     0.882051  	                  1
Cloudfront    	CN       	               0.454712  	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                0.974026  	             0.796182  	                 0.763158  	                 1         	                     1         	                  0.401324
Cloudfront    	IN       	               0.0115607 	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
Cloudfront    	ID       	               0.24      	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                0.880282  	             1         	                 0.28169   	                 1         	                     1         	                  1
Cloudfront    	AE       	               0.037037  	           0.949541  	                1        	            1         	                1         	                0.947867  	                    1         	                 1         	                     1         	                0.989474  	             0.982143  	                 0.990446  	                 0.557768  	                     0.382367  	                  0.745914
Cloudfront    	DZ       	               0.727535  	           0.4375    	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     0.878205  	                  1
Cloudfront    	ZA       	               0.0533937 	           0.762393  	                1        	            1         	                1         	                0.740741  	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     0.772277  	                  1
Cloudfront    	EG       	               0.628241  	           0.625     	                0.553846 	            0.623665  	                0.738776  	                0.0600477 	                    0.100071  	                 0.115067  	                     0.216553  	                0.108816  	             0.0915121 	                 0.177309  	                 0.151979  	                     0.27708   	                  0.153358
Cloudfront    	NG       	               0.456647  	           0.825563  	                0.386155 	            1         	                0.468208  	                1         	                    0.756098  	                 1         	                     0.0972507 	                0.944641  	             1         	                 1         	                 1         	                     0.756098  	                  1
